,Average User Rating,User Rating Count,Price,In-app Purchases,Languages,Size,Update_Gap,Name,Subtitle,age_rating,GenreList,Puzzle,Simulation,Action,Board
211,2.5,310,0,0.99,1,26754048,2693 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
212,3.5,92,2.99,,1,37567488,3223 days 00:00:00.000000000,0,0,12,    Board  ,0,0,0,1
213,3.5,324,0,,3,13945969,673 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
214,3.5,1736,0,,6,80186242,0 days 00:00:00.000000000,0,0,9,  Action  ,0,0,1,0
215,2.5,1377,0,,1,7988224,2142 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
216,2,6,0.99,,2,13468672,2519 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
217,3.5,96,0,"2.99, 3.99, 0.99, 0.99, 9.99, 3.99, 6.99, 3.99, 0.99, 0.99",1,52686848,217 days 00:00:00.000000000,0,0,4,  Social Networking  Simulation  ,0,1,0,0
218,3.5,1739,0,,4,14912432,383 days 00:00:00.000000000,0,0,9,    Simulation,0,1,0,0
219,4,1009,0,"1.99, 1.99, 8.49, 3.99, 0.99, 1.99, 7.99",2,123698176,3307 days 00:00:00.000000000,0,0,4,  Board  Lifestyle  ,0,0,0,1
220,2,602,0,,6,215840,401 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
221,4,1335,2.99,,1,32712704,2966 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
222,3,86,0,,2,13109248,2563 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
223,3.5,37350,0,,1,14556326,547 days 00:00:00.000000000,0,0,12,    Role Playing  ,0,0,0,0
224,2,119,0,,1,46803968,3318 days 00:00:00.000000000,0,0,4,  Board  Education  ,0,0,0,1
225,3,1229,0,"37.99, 199.99, 0.99",7,10781853,45 days 00:00:00.000000000,0,0,12,Medical  Adventure    ,0,0,0,0
226,3,1229,0,"37.99, 199.99, 0.99",7,10781853,45 days 00:00:00.000000000,0,0,12,Medical  Adventure    ,0,0,0,0
227,3.5,14,0,,1,9549824,3006 days 00:00:00.000000000,0,0,4,  Board  ,0,0,0,1
228,4,342,0,,1,19326976,2887 days 00:00:00.000000000,0,0,9,  Action  ,0,0,1,0
229,3,254,0,,1,8296134,477 days 00:00:00.000000000,0,0,4,  Casual  ,0,0,0,0
230,4.5,10311,0,,8,50140160,3416 days 00:00:00.000000000,0,0,4,    Card  ,0,0,0,0
231,2.5,319,0.99,,1,47455232,3141 days 00:00:00.000000000,0,0,4,  Simulation    ,0,1,0,0
232,4,98,2.99,,4,11632640,1755 days 00:00:00.000000000,0,0,4,      Card,0,0,0,0
233,3,49,0,,1,5049774,0 days 00:00:00.000000000,0,0,9,      Puzzle,1,0,0,0
